url,title,barcode,original_price,image_url
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-growing-up-milk-1-ready-to-feed-200ml,,8712400682107,,
https://www.sainsburys.co.uk/gol-ui/product/kendamil-organic-toddler-milk-stage-3-12-36-months-800g,,5056000501516,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-growing-up-milk--2-years-800g,,5051594001930,,
https://www.sainsburys.co.uk/gol-ui/product/sma-3-toddler-milk-800g,,7613037001587,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-growing-up-milk-2-800g,,5051594001954,,
https://www.sainsburys.co.uk/gol-ui/product/hipp-growing-up-milk-200ml,,4062300346079,,
https://www.sainsburys.co.uk/gol-ui/product/sma-3-toddler-milk--ready-to-use-200ml,,0000050478767,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-growing-up-milk-1-years-ready-to-feed-1-litre,,5051594002227,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-1-first-baby-milk-formula-liquid-from-birth-multipack-6x200ml,,5051594009233,,
https://www.sainsburys.co.uk/gol-ui/product/cow-gate-first-infant-milk-from-birth-6x200ml,,5051594009196,,
https://www.sainsburys.co.uk/gol-ui/product/cow-gate-2-follow-on-baby-milk-formula-multipack-6x200ml,,5051594009219,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-1-first-baby-milk-formula-from-birth-200ml-3560884-p,,8712400556958,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-profutura-1-first-baby-milk-formula-from-birth-200ml-7780230-p,,8716900570254,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-1-first-baby-milk-formula-from-birth-1l-7568740-p,,5051594002692,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-1-first-baby-milk-formula-from-birth-1l-7568659-p,,5051594002630,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-1-first-baby-milk-formula-starter-pack-from-birth-6x70ml-7568752-p,,5051594002814,,
https://www.sainsburys.co.uk/gol-ui/product/aptamil-3-follow-on-milk-ready-to-feed-200ml,,8712400556972,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-2-follow-on-baby-milk-formula-200ml-3149867-p,,8716900559280,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-1-first-baby-milk-formula-starter-pack-from-birth-6x70ml-7702140-p,,5051594003620,,
https://www.sainsburys.co.uk/gol-ui/product/cow---gate-1-first-baby-milk-formula-from-birth-200ml-3149843-p,,8712400557924,,
https://www.sainsburys.co.uk/gol-ui/product/apt-profutura-first-starter-pk-6x70ml,,5051594004313,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-spreadables-tuna-mayonnaise-corn-80g,,0000050171071,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-salmon-haddock-paste-75g,,0000000310406,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-sardines-in-spring-water-120g,,0000001005912,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-sardines--in-tomato-sauce-120g,,0000000085939,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-sardines--in-sunflower-oil-120g,,0000000441568,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-sardines-skinless-boneless-in-olive-oil-120g,,0000000391078,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-boneless-sardines-in-olive-oil-95g,,5000171053015,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-sardines-in-tomato-sauce--skinless---boneless-95g,,5000171033635,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-sardines--in-brine-120g,,0000000183468,,
https://www.sainsburys.co.uk/gol-ui/product/sainsburys-portuguese-sardines--skinless---boneless-in-tomato-sauce-120g,,0000001252781,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-sardines-in-tomato-sauce-120g,,5000171010209,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-sardines-in-sunflower-oil-skinless---boneless-95g,,5000171033628,,
https://www.sainsburys.co.uk/gol-ui/product/john-west-sardines-in-sunflower-oil-120g,,5000171030696,,
https://www.sainsburys.co.uk/gol-ui/product/parmentier-sardines-in-olive-oil-provencal-herbs-135g,,3019081238681,,
https://www.sainsburys.co.uk/gol-ui/product/sea-castle-sardines-in-pure-olive-oil-125g,,0040822043007,,
https://www.sainsburys.co.uk/gol-ui/product/parmentier-sardines-with-chilli-in-olive-oil-135g,,3019081238650,,
https://www.sainsburys.co.uk/gol-ui/product/parmentier-sardines-in-tomato-sauce-135g,,3019081238704,,
